City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,igarka,67.4667,86.5833,252.9,100,100,0.94,RU,1676839140
237,krasnyy kholm,58.0607,37.1203,264.83,93,100,5.66,RU,1676839141
238,wynyard,-41.0,145.7167,288.69,94,77,2.09,AU,1676839141
239,ponta do sol,32.6667,-17.1,291.49,61,14,2.64,PT,1676839142
240,bonavista,48.6499,-53.1147,269.5,75,100,6.63,CA,1676839143
241,qaqortoq,60.7167,-46.0333,262.63,82,100,2.7,GL,1676839143
242,nouadhibou,20.931,-17.0347,292.14,72,100,5.66,MR,1676839144
243,cabo san lucas,22.8909,-109.9124,300.16,53,0,6.69,MX,1676838881
244,japura,-0.3167,102.35,296.45,97,100,1.23,ID,1676839144
245,machilipatnam,16.1667,81.1333,296.43,74,0,1.66,IN,1676839145
246,katobu,-4.9408,122.5276,297.22,92,80,0.84,ID,1676839146
247,tiarei,-17.5333,-149.3333,304.16,73,26,3.55,PF,1676839146
248,itaituba,-4.2761,-55.9836,300.24,83,75,2.57,BR,1676839147
249,te anau,-45.4167,167.7167,290.33,88,88,2.37,NZ,1676839147
250,chifeng,42.2683,118.9636,262.71,43,0,5.86,CN,1676839148
251,banda aceh,5.5577,95.3222,298.23,83,99,4.13,ID,1676839149
252,huarmey,-10.0681,-78.1522,298.59,74,100,4.93,PE,1676839149
253,farafangana,-22.8167,47.8333,297.9,80,96,3.01,MG,1676839150
254,caravelas,-17.7125,-39.2481,299.13,79,8,2.7,BR,1676839150
255,east london,-33.0153,27.9116,296.94,91,9,3.37,ZA,1676839151
256,codrington,-38.2667,141.9667,286.99,89,1,0.73,AU,1676839151
257,chishtian mandi,29.8,72.8667,294.63,14,100,1.68,PK,1676839152
258,rio gallegos,-51.6226,-69.2181,287.18,28,75,11.83,AR,1676839153
259,geraldton,-28.7667,114.6,296.38,83,100,4.12,AU,1676839153
260,jiwani,25.05,61.7417,296.5,71,99,8.42,PK,1676839154
261,mwene-ditu,-7.0,23.45,290.72,96,100,1.33,CD,1676839154
262,eureka,40.8021,-124.1637,287.36,65,33,2.68,US,1676839155
263,bourail,-21.5667,165.4833,298.25,69,0,1.96,NC,1676839155
264,pangnirtung,66.1451,-65.7125,235.15,61,0,0.0,CA,1676839156
265,ravar,31.2656,56.8055,283.32,41,15,0.88,IR,1676839157
266,bukachacha,52.9833,116.9167,247.75,94,5,1.84,RU,1676839158
267,daru,-9.0763,143.2092,298.97,88,97,1.74,PG,1676839159
268,siderno,38.2779,16.302,285.0,84,10,4.86,IT,1676839159
269,port hueneme,34.1478,-119.1951,295.66,40,0,7.72,US,1676838861
270,katangli,51.7102,143.2326,244.41,100,100,2.41,RU,1676839160
271,puksoozero,62.5903,40.6066,258.82,96,91,2.64,RU,1676839161
272,maiduguri,11.8464,13.1603,293.68,23,0,3.9,NG,1676839161
273,bonfim,3.0833,-59.95,305.12,42,79,6.36,BR,1676839162
274,thanh hoa,19.8,105.7667,292.15,75,100,1.48,VN,1676839163
275,tiksi,71.6872,128.8694,241.93,98,50,3.76,RU,1676839163
276,uusikaupunki,60.8004,21.4084,271.29,96,98,3.42,FI,1676839074
277,chuguyevka,44.1653,133.8633,255.27,100,99,0.85,RU,1676839164
